method,arxiv_id,venue,year,category,core_innovation,code_url
EAGLES,2312.04564,ECCV 2024,2024,Compression & Streaming,Quantized embeddings + coarse-to-fine training + pruning for 10-20x memory compression maintaining quality,https://github.com/Exyro/EAGLES
Embedded-3DGS,,arXiv,2024,Compression & Streaming,"Neural architecture search, ~10x compression",
FAD-GS,2404.10625,CVPR 2024,2024,Compression & Streaming,Frequency-aware decomposition for GS compression: separating low/high frequency Gaussians,
HAC,2403.14530,ECCV 2024,2024,Compression & Streaming,"Hash-grid context modeling, ~100x compression",https://github.com/yihangchen-ee/HAC
LightGaussian,2311.17245,NeurIPS 2024,2024,Compression & Streaming,Global+local pruning + SVD distillation for 15x compression at 200+ FPS,https://github.com/VITA-Group/LightGaussian
LightGS,,arXiv,2024,Compression & Streaming,"Distillation-based, ~15-20x compression",
MobileGS,,arXiv,2024,Compression & Streaming,Extreme 50-100x compression for mobile deployment,
QUEEN,2412.04469,NeurIPS 2024,2024,Compression & Streaming,Quantized efficient encoding for streaming free-viewpoint video with dynamic Gaussians,
RDO-Gaussian,2406.01597,ECCV 2024,2024,Compression & Streaming,End-to-end rate-distortion optimization: dynamic pruning + ECVQ quantization for 40x+ compression with continuous rate control,
Sp2403GS,2312.09147,CVPR 2024,2024,Compression & Streaming,Sparse GS representation with importance-based pruning + codebook quantization,
3DGS\u00B3,,arXiv,2026,Acceleration,Joint super sampling and frame interpolation for real-time large-scale 3DGS,
Axis-Shared Rasterization Accelerator,,arXiv,2026,Acceleration,3DGS hardware accelerator with axis-shared rasterization + order-independent transmittance; optimized for efficient on-chip rendering (SJTU),
DDF-GS,2606.00817,arXiv 2026,2026,Acceleration,Directed Distance Fields for constant-time ray queries on 3DGS scenes; 52MB neural field distilled from trained 3DGS; 26-72x faster than SDF sphere tracing; supports GI secondary rays,https://github.com/smlab-niser/ddf-gs
Flux-GS,,arXiv,2026,Acceleration,Monte Carlo Specular Energy Aggregator for mobile 3DGS: samples 3rd-order radiance residuals into compact latent space + Attribute-Conditioned SH Enhancement + Multi-view Alpha-based Densification/Pruning; real-time mobile rendering with significant parameter reduction (UTS/Baidu/U Adelaide),
HiGS,2606.00352,arXiv 2026,2026,Acceleration,Hierarchically Tiled Gaussian Splatting: decouples coarse macro-tile partitioning from fine render-tile rasterization; up to 15.8x faster than original 3DGS while preserving exact front-to-back alpha compositing,
IPU-GS,2607.15951,arXiv 2026,2026,Acceleration,First 3DGS renderer on Intelligence Processing Unit (IPU); 1472-tile on-chip SRAM architecture for sensor-processor near-data rendering; demonstrates edge inference without GPU,
MACRO,,arXiv,2026,Acceleration,Training-free multi-plane attention for closeup render optimization; depth-plane decomposition + scale-matching reference; first standardized closeup NVS benchmark,
StereoGS,,2026,2026,Acceleration,Energy-efficient 3DGS stereoscopic rendering processor; dual-eye shared compute and memory bandwidth for VR/AR,
TemporalGS,,arXiv,2026,Acceleration,Training-free plug-and-play 3DGS rendering acceleration via temporal priors; dynamic culling + selective rendering; up to 1.48x speedup,
TensorGS,2605.17855,arXiv 2026,2026,Acceleration,Tensor Core acceleration for 3DGS: tensorizes rasterization into FP16 matrix operations with cross-tile grouping; 1.65x end-to-end speedup,
BlitzGS,2605.13794,arXiv 2026,2026,Large-Scale,"We present BlitzGS, a distributed 3DGS framework that reduces active Gaussian workload for fast city-scale reconstruction. BlitzGS manages this workload at three coupled levels. At the system level...",
CaT-GS,2607.17842,CVPR 2026,2026,Large-Scale,Renderspeed: speculative multi-frame preprocessing + inter-frame caching; 10x faster than vanilla 3DGS,
City-Level 3D Surface,,arXiv,2026,Large-Scale,Viewpoint orientation partitioning for 3DGS scene division; similar-orientation views joint depth estimation; multi-GPU parallel city-scale surface reconstruction,
City-Mesh3R,2605.30310,arXiv,2026,Large-Scale,End-to-end image-to-mesh reconstruction for city-scale 3D mapping,
EvoGS,2606.07179,arXiv,2026,Large-Scale,First continuous-layering 3DGS representation for dynamic large-scale scenes,
GS4City,2604.11401,arXiv,2026,Large-Scale,Hierarchical semantic GS via city-model priors,
i3dgs,,SIGGRAPH 2026,2026,Large-Scale,Immediate 3DGS for large-scale unordered image collections; incremental reconstruction with on-the-fly pruning,https://github.com/graphdeco-inria/i3dgs
TideGS,2605.20150,arXiv 2026,2026,Large-Scale,Out-of-core training for 1B+ Gaussians via SSD-CPU-GPU hierarchy on single 24GB GPU,
CityGS-v2,2503.10437,CVPR 2025,2025,Large-Scale,Second-generation city-scale GS with block-wise training and seamless merging,
GaussianCity,2502.11801,CVPR 2025,2025,Large-Scale,City-scale GS with progressive training and semantic-guided densification,
LRG,2504.00387,CVPR 2025,2025,Large-Scale,Locally-reconstructible GS for scalable large scene rendering,
Scaffold-v3,2503.06900,CVPR 2025,2025,Large-Scale,Third-generation Scaffold-GS with neural anchor decoding,
CityGaussian,2401.02379,ECCV 2024,2024,Large-Scale,Hierarchical LOD for city-scale real-time rendering,
DOGS,2405.13943,NeurIPS 2024,2024,Large-Scale,Distributed GS with communication-efficient Gaussian consensus for large-scale reconstruction,https://github.com/AIBluefisher/DOGS
MegaGaussian,2404.14410,CVPR 2024,2024,Large-Scale,Mega-scale GS training with progressive data loading and chunk-based optimization,
Octree-GS,,arXiv,2024,Large-Scale,Octree spatial partitioning + LOD management,
Scaffold-GS+,,CVPR 2024,2024,Large-Scale,Progressive training for better city-scale quality,
SCube,2410.20030,NeurIPS 2024,2024,Large-Scale,VoxSplats: voxelized splat with hierarchical LOD for large-scale streaming reconstruction,https://github.com/nv-tlabs/SCube
Street Gaussians,2401.01339,ECCV 2024,2024,Large-Scale,Static/dynamic decomposition for urban street scenes,https://github.com/hbb1/Street-Gaussians
Scaffold-GS,2312.13209,ICCV 2023,2023,Large-Scale,Anchor-based structure for efficient large-scale representation,
AdaptSplat,2605.10239,arXiv,2026,Feed-Forward,Adapting vision foundation models for feed-forward 3DGS; leverages pretrained ViT/DINO features for cross-scene generalizable Gaussian prediction,
AnchorSplat,,arXiv,2026,Feed-Forward,3D-native end-to-end depth network via Point Anchor Mechanism for GS detail enhancement; 10^5x faster than optimization methods; zero-shot generalization to generated models,
AnyCity,2605.19949,arXiv 2026,2026,Feed-Forward,Observation-grounded generative reconstruction for sparse aerial urban scenes; gated diffusion residual,
ARGS,2604.00494,arXiv,2026,Feed-Forward,Auto-regressive O(log n) multi-scale 3D generation,
ArtSplat,2605.24304,arXiv,2026,Feed-Forward,First feed-forward articulated 3DGS; per-pixel joint map + Cross-State Attention; 400x faster,
AsySplat,2607.10995,,2026,Feed-Forward,Asymmetric architecture decoupling geometry and appearance modeling; coarse geometry branch + fine appearance branch; ~800x speedup over optimization-based methods,
ATSplat,2607.20417,arXiv 2026,2026,Feed-Forward,"Adaptive 3D Tokens for feed-forward 3DGS; 12 images to 1s reconstruction, 1136 FPS, 5.7x fewer Gaussians",
BA-GS,,CVPR 2026,2026,Feed-Forward,Bayesian Adaptive Gaussian Splatting for SfM-free 3D reconstruction,
Cross-View Splatter,2605.19656,arXiv 2026,2026,Feed-Forward,Ground+satellite cross-view feature fusion for outdoor 3DGS reconstruction with unified GPS coordinate,
DeblurNVS,2606.01315,arXiv 2026,2026,Feed-Forward,First feed-forward NVS from sparse motion-blurred images without per-scene optimization; recovers intermediate geometry for multi-view reasoning,https://github.com/PKU-YuanGroup/DeblurNVS
DéjàView,2605.30215,arXiv,2026,Feed-Forward,Looped transformer block applied recurrently for K steps; exposes K as inference-time compute knob; matches larger baselines with fraction of parameters on 5 reconstruction benchmarks,
FF-ProCams,2607.17803,arXiv 2026,2026,Feed-Forward,Feed-forward 3DGS inverse rendering for projector-camera; Mamba2-Transformer; 8 views beat 297-view optimization,
ForeSplat,2605.22020,arXiv,2026,Feed-Forward,MetaGrad meta-gradient training makes feed-forward 3DGS output optimizer-friendly initializations,
Free Geometry,2604.14048,arXiv,2026,Feed-Forward,Self-evolving feed-forward models via LoRA without 3D GT,https://github.com/hiteacherIamhumble/Free-Geometry
GADA,2607.00595,ICML 2026,2026,Feed-Forward,Geometry-aware deformable aggregation for image-based 3DGS; deformable offsets + implicit confidence weighting; 2.13x faster FPS,
GenWildSplat,2604.28193,CVPR 2026,2026,Feed-Forward,Generalizable sparse-view 3D reconstruction from unconstrained images,
GlobalSplat,2604.15284,arXiv,2026,Feed-Forward,Global latent tokens → 16K Gaussians in 78ms single forward pass,https://r-itk.github.io/globalsplat/
GUSH3R,,arXiv,2026,Feed-Forward,Single-forward-pass reconstruction of dynamic humans + static scenes as 3DGS primitives from monocular video; geometry-consistent online NVS,
HyperGS,2607.11500,,2026,Feed-Forward,Feedforward optimization-free Gaussian video representation; factorized spatiotemporal Transformer + learnable query-based Transformer; 10^4-10^5x speedup; +2.9-3.1 dB over prior video encoders,
IDESplat,2601.03824,CVPR 2026,2026,Feed-Forward,Iterative depth probability with epipolar attention,https://github.com/CVL-UESTC/IDESplat
InvSplat,2607.02301,arXiv 2026,2026,Feed-Forward,Inverse feed-forward scene splatting; predicts structured 3D Gaussians with intrinsic material attributes (albedo metallic roughness) for relighting,
LangFlash,2605.23287,CVPR Findings,2026,Feed-Forward,Sparse semantic encoding for feed-forward 3D language GS from unposed images,
MAC-Splat,2607.10792,ECCV 2026,2026,Feed-Forward,Multi-Attribute Consistency for sparse-view 3DGS; MASt3R backbone + DINOv3 correspondences; +4.5 dB over Splatt3R,
NoDrift3R,,arXiv,2026,Feed-Forward,Raymap-Guided Coupling for drift-robust unposed feed-forward 3DGS; explicit geometry-appearance coupling module for long-sequence reconstruction,
NoPo4D,2605.22190,arXiv,2026,Feed-Forward,Feed-forward dynamic Gaussians from unposed multi-view videos; velocity decomposition + bidirectional motion,
PM-Loss,2506.05327,3DV 2026,2026,Feed-Forward,Pointmap-supervised depth regularization for smoother feed-forward 3DGS boundaries,https://github.com/aim-uofa/PM-Loss
Reliev3R,2604.00548,CVPR 2026,2026,Feed-Forward,Reduces dependency on dense multi-view geometric annotations,
RoSplat,2605.13093,arXiv 2026,2026,Feed-Forward,"Generalizable 3D Gaussian Splatting has recently emerged as an efficient approach for novel-view synthesis, enabling feed-forward synthesis from only a few input views. However, existing pixel-wise...",
Spark3R,2605.06270,arXiv,2026,Feed-Forward,"Feed-forward 3D reconstruction models based on Vision Transformers can directly estimate scene geometry and camera poses from a small set of input images, but scaling them to video inputs with hund...",
SparseSplat,,CVPR 2026,2026,Feed-Forward,"Entropy-based adaptive density, SOTA with 22% of Gaussians (150K vs 688K)",https://github.com/victkk/SparseSplat-page
SplatWeaver,2605.07287,arXiv,2026,Feed-Forward,Generalizable novel view synthesis aims to render unseen views from uncalibrated input images without requiring per-scene optimization. Recent feed-forward approaches based on 3D Gaussian Splatting...,
SR3R,,CVPR 2026,2026,Feed-Forward,Rethinking Super-Resolution 3D Reconstruction with Feed-Forward Gaussian Splatting; multi-resolution feature fusion + progressive optimization for high-fidelity 3D from low-res input,
SubSplat,2607.20813,arXiv 2026,2026,Feed-Forward,Subpixel Gaussian reparameterization (SPGR); subdivide main Gaussians from low-res features,
TokenGS,2604.15239,arXiv,2026,Feed-Forward,Learnable tokens decoupling 3D Gaussian prediction from pixels,
TriSplat,2605.26115,arXiv,2026,Feed-Forward,Triangle primitives replace Gaussians; simulation-ready mesh export from single forward pass,
UniSHARP,,CVPR,2026,Feed-Forward,First unified monocular 3DGS across pinhole/fisheye/360 cameras,
VG²GT,2606.01573,arXiv 2026,2026,Feed-Forward,Voxel-Gaussian Visual Geometry Grounded Transformer; frozen VFM + multi-scale differentiable voxel module + stochastic solid volume rendering for depth supervision; outperforms SOTA on DTU/Replica/TAT/ScanNet,
WildSplat,,arXiv,2026,Feed-Forward,First feed-forward 3DGS from unposed in-the-wild images; dual-branch architecture decoupling geometry and appearance for appearance-conditioned NVS,
WildSplatter,2604.21182,arXiv,2026,Feed-Forward,"Unconstrained images with appearance embeddings, <1s reconstruction",https://github.com/yfujimura/WildSplatter
Z-Order GS,2605.13465,CVPR 2026 Oral,2026,Feed-Forward,Z-order strategy for spatially coherent Gaussian sequence with sparse attention,
AnySplat,2505.23716,SIGGRAPH 2025,2025,Feed-Forward,In-the-wild feed-forward with appearance/lighting variation handling,
CUT3R,2501.12387,CVPR 2025,2025,Feed-Forward,,https://github.com/CUT3R/CUT3R
DepthSplat,2410.13862,CVPR 2025,2025,Feed-Forward,Stereo-guided depth regularization for feed-forward 3DGS,https://github.com/yzhq97/depthsplat
Flash3D,2406.04343,3DV 2025,2025,Feed-Forward,,https://github.com/eldar/flash3d
GeoSplat,2412.16604,CVPR 2025,2025,Feed-Forward,Geometry-aware feed-forward GS with cross-view feature matching,
MonST3R,2410.03825,ICLR 2025,2025,Feed-Forward,,https://github.com/Junyi42/monst3r
NoPoSplat,2410.24207,ICLR 2025,2025,Feed-Forward,,https://github.com/cvg/NoPoSplat
Spann3R,2408.16061,3DV 2025,2025,Feed-Forward,,https://github.com/HengyiWang/spann3r
SplatFormer,2412.20522,CVPR 2025,2025,Feed-Forward,Transformer-based Gaussian prediction for generalizable 3D reconstruction,
VGGT,2503.11651,CVPR 2025,2025,Feed-Forward,,https://github.com/facebookresearch/vggt
VolSplat,2509.19297,arXiv 2025,2025,Feed-Forward,Voxel-aligned Gaussian prediction replacing pixel-aligned splats for multi-view consistency,https://github.com/ziplab/VolSplat
ZPressor,2505.23734,NeurIPS 2025,2025,Feed-Forward,Bottleneck-aware latent compression enabling scalable feed-forward 3DGS from 100+ input views,https://github.com/ziplab/ZPressor
CAT3D,2405.10314,NeurIPS 2024,2024,Feed-Forward,,
EpipolarFree-GS,2410.22817,NeurIPS 2024,2024,Feed-Forward,"Removing epipolar constraint for generalizable NVS, stronger cross-domain generalization",
EpiSplat,2403.09434,ECCV 2024,2024,Feed-Forward,"Epipolar-aware cross-attention for feed-forward GS, encoding multi-view geometry priors",
FreeSplat,2405.17958,NeurIPS 2024,2024,Feed-Forward,Generalizable feed-forward indoor 3DGS with pixel-aligned Gaussian prediction,https://github.com/wangys16/FreeSplat
GeoLRM,2406.15333,NeurIPS 2024,2024,Feed-Forward,Geometry-aware attention for large reconstruction model generating high-quality 3D Gaussians,https://github.com/alibaba-yuanjing-aigclab/GeoLRM
GGN,2503.16338,NeurIPS 2024,2024,Feed-Forward,Gaussian Graph Network modeling inter-Gaussian relationships with graph neural networks,https://github.com/shengjun-zhang/GGN
GPSGaussian,2312.00112,ECCV 2024,2024,Feed-Forward,Generalizable pixel-aligned stereo GS for real-time novel view synthesis from stereo pairs,
GS-LRM,2404.19702,ECCV 2024,2024,Feed-Forward,1B-parameter transformer with zero-shot generalization,https://github.com/sunnyuvion/GS-LRM
InstantSplat,2403.20309,arXiv,2024,Feed-Forward,Pose-free sparse-view reconstruction in ~40 seconds,https://github.com/NVlabs/InstantSplat
MVSplat,2403.14627,ECCV 2024,2024,Feed-Forward,Cost-volume-based 3DGS from 3 sparse views,https://github.com/donydchen/mvsplat
MVSplat360,2411.04924,NeurIPS 2024,2024,Feed-Forward,Feed-forward 360-degree scene synthesis from sparse views,https://github.com/donydchen/mvsplat360
PixelSplat,2312.12337,CVPR 2024,2024,Feed-Forward,Epipolar Transformer for feed-forward stereo GS reconstruction from image pairs,https://github.com/davidtvs/pixelsplat
ReconFusion,2312.02981,CVPR 2024,2024,Feed-Forward,,
Splatt3R,2408.13912,arXiv preprint,2024,Feed-Forward,,https://github.com/btsmart/splatt3r
SplatterVideo,2406.13870,NeurIPS 2024,2024,Feed-Forward,Video-level feed-forward GS prediction with frame-to-frame consistency,https://github.com/SunYangtian/Splatter_A_Video
3D-GIMP,2607.20789,arXiv 2026,2026,Language & Semantic,3DGS inpainting + PatchMatch hybrid; single generative inpainting on key view then propagate,
Consistent Scene Understanding in 3DGS,,arXiv,2026,Language & Semantic,Multi-cue mask refinement with semantic/depth/edge fusion + cross-view mask matching for consistent 3DGS instance segmentation,
DGSG-Mind,2605.29879,arXiv,2026,Language & Semantic,Dynamic 3D Gaussian scene graphs with probabilistic voxel grid + 3D Gaussian Mind for embodied reasoning,
Gaga,,arXiv,2026,Language & Semantic,Group Any Gaussians via 3D-aware Memory Bank; leverages inconsistent 2D masks from zero-shot segmentation models; 3D-aware memory bank for robust cross-pose mask association,
GeoSAM-3D,2606.00447,arXiv 2026,2026,Language & Semantic,Open-vocabulary 3D scene segmentation on monocular video: 3DGS reconstruction + differentiable graph-geodesic propagation kernel (SAM prompt propagates along heat-kernel distance),
GLMap,2605.01736,CVPR 2026,2026,Language & Semantic,Multi-scale Gaussian-Language map for zero-shot navigation,https://github.com/sx-zhang/GLMap
Ilov3Splat,2605.04506,ICPR 2026,2026,Language & Semantic,Instance-level open-vocabulary 3DGS via multi-resolution hash embedding for CLIP features + SAM contrastive instance field; two-stage 3D clustering for natural language-driven 3D object retrieval (CSIRO),
LB-Edit,2607.19777,arXiv 2026,2026,Language & Semantic,"Attention-guided editing camera placement (ACP) + multi-view attention alignment (MAA); 5 views, 7x lower latency",
NG-GS,2604.14706,arXiv,2026,Language & Semantic,NeRF-guided Gaussian-level semantic assignment,
OP2GS,2605.20044,arXiv 2026,2026,Language & Semantic,Dual-opacity primitives decoupling visual existence from instance occupancy for object-aware 3DGS,
OpenGaFF,2605.06088,arXiv,2026,Language & Semantic,Understanding open-vocabulary 3D scenes with Gaussian-based representations remains challenging due to fragmented and spatially inconsistent semantic predictions across multi-view observations. In ...,
PointGS,2605.11520,CVPR 2026,2026,Language & Semantic,"Unsupervised point cloud segmentation is critical for embodied artificial intelligence and autonomous driving, as it mitigates the prohibitive cost of dense point-level annotations required by full...",
ReLaGS,2603.17605,CVPR 2026,2026,Language & Semantic,Relational Language Gaussian Splatting for open-vocabulary 3D scene understanding,
Robust Prior-Guided Seg.,2605.16065,ICIP,2026,Language & Semantic,SAM-HQ + prior-guided label reassignment for multiview-consistent 3DGS segmentation; object removal/extraction/recoloring,
SAGO,,arXiv,2026,Language & Semantic,Online segment 3D Gaussians via virtual drones; reframes interactive 3DGS segmentation as Next-Best-View planning; 50x faster than prior methods,
SCOUP,2605.13600,arXiv 2026,2026,Language & Semantic,Sparse Code Uplifting for efficient 3D language GS with 400x training speedup,
Semantic Foam,2604.26262,CVPR 2026 Highlight,2026,Language & Semantic,Volumetric Voronoi mesh for spatial + semantic decomposition,http://semanticfoam.github.io/
TrackRef3D,2605.26576,arXiv,2026,Language & Semantic,Track-then-label paradigm with TSCM for open-world referring segmentation in 3DGS,
VLRC,,arXiv,2026,Language & Semantic,Vision-Language Reprojection Consistency as scalable signal for better feed-forward 3D pretraining,
X-GS,2603.09632,arXiv,2026,Language & Semantic,Extensible GS framework: X-GS-Perceiver for SLAM + semantic distillation for downstream tasks,
ZeroSplat,2607.18801,ECCV 2026,2026,Language & Semantic,"Generalized referring 3DGS segmentation (GR3DGS); zero-feature, training-free, 0/1/N target support",
GaussScene,2412.06273,CVPR 2025,2025,Language & Semantic,Scene-graph Gaussian Splatting for structured 3D scene understanding,
GS-LLM,2412.06767,CVPR 2025,2025,Language & Semantic,LLM-guided GS for reasoning-driven 3D scene understanding and manipulation,
LEGaussians,2412.03911,CVPR 2025,2025,Language & Semantic,Language-embedded Gaussians with CLIP-directed per-Gaussian feature alignment,
LGGS,2409.04196,CVPR 2025,2025,Language & Semantic,Language-guided GS for zero-shot 3D understanding without per-scene training,
OpenGaussian-v2,2412.06234,CVPR 2025,2025,Language & Semantic,Enhanced open-vocabulary GS with hierarchical feature aggregation,
ReferSplat,,ICML 2025 Oral,2025,Language & Semantic,Referring segmentation in 3D Gaussian Splatting with language-guided instance-level features for open-vocabulary 3D understanding,https://github.com/heshuting555/ReferSplat
SemanticGauss,2412.06250,CVPR 2025,2025,Language & Semantic,Unified semantic Gaussian representation for joint reconstruction and understanding,
CL-GS,2407.10102,ECCV 2024,2024,Language & Semantic,Contrastive learning for GS semantic features: CLIP-guided per-Gaussian feature distillation,
Feature 3DGS,2312.03203,CVPR 2024,2024,Language & Semantic,Distilled DINO/SAM features for 3D segmentation/detection,https://github.com/D%20Charles2/feature-3dgs
LangSplat,2312.16084,CVPR 2024,2024,Language & Semantic,CLIP features stored per-Gaussian for open-vocabulary 3D queries,https://github.com/minghanqin/LangSplat
OpenGaussian,2406.02058,NeurIPS 2024,2024,Language & Semantic,Per-Gaussian feature distillation for point-level open-vocabulary 3D understanding,
AniGen,,SIGGRAPH 2026 TOG,2026,Generation,Unified S3 Fields for single-image animatable 3D asset generation with skeletal-guided canonical space and diffusion prior,https://github.com/VAST-AI-Research/AniGen
AnySurf,2605.26149,arXiv,2026,Generation,Any surface generation with directed edge representation,
AssetGen,2605.26137,arXiv,2026,Generation,Deployable 3D asset generation at interactive speed,
DeG,2605.16355,SIGGRAPH 2026,2026,Generation,Density-Sampled Gaussians: learnable probability density on octree for adaptive density control; fully differentiable analogue to densification/pruning; latent diffusion with VecSeq canonical re-indexing,
GaussianZoom,2605.18252,arXiv 2026,2026,Generation,Progressive zoom-in generative 3D reconstruction with multi-scale semantic reasoning + expandable continuous LoD,
MeshFlow,2606.04621,CVPR,2026,Generation,Efficient artistic mesh generation via MeshVAE + flow-based Diffusion Transformer; compact latent space,
PanoWorld,2605.17916,arXiv 2026,2026,Generation,Generative spatial world model for whole-house panorama synthesis with floorplan-derived 3D shell and dynamic 3DGS cache,
PhysX-Omni,2605.21572,arXiv 2026,2026,Generation,Unified simulation-ready physical 3D generation for rigid + deformable + articulated objects; PhysXVerse dataset,
PixGS,,arXiv,2026,Generation,Single-stage pixel-space diffusion directly generating 3D Gaussians; bypasses lossy latent compression; denoise Gaussian attributes per timestep; inference ~1s/A100,
ROAR-3D,2605.21121,arXiv 2026,2026,Generation,Routing arbitrary views for multi-view 3D generation; token-wise view router establishes 2D-to-3D correspondences without explicit pose input; dual-stream attention preserves pretrained single-view behavior,
SceneFrom3D,,arXiv,2026,Generation,Geometry-conditioned outdoor 3D scene generation via view scheduling with object-level control; directed generation graph with anchor views + interpolation trajectories,
SceneGen-LLMRL,2605.05711,arXiv,2026,Generation,Unified 3D scene generation + immersive interaction via LLM-RL coupling,
SIC3D,2604.08760,arXiv,2026,Generation,Style image conditioned text-to-3D Gaussian Splatting generation,
SymTRELLIS,2606.04108,arXiv,2026,Generation,Symmetry-enforced voxel latents for 3D generation; velocity symmetrization at each ODE step,
TRELLIS.2,,CVPR 2026 Best Student Paper,2026,Generation,4B-parameter native 3D large model; 17s PBR asset generation with integrated texture and material synthesis,
3DGST,2409.19702,CVPR 2025,2025,Generation,3D Gaussian Splatting Transformer for feed-forward text-to-3D generation,
GaussDreamer,2503.19232,CVPR 2025,2025,Generation,Enhanced GS-based text-to-3D with progressive generation and SDS refinement,
SplatDM,2502.05176,CVPR 2025,2025,Generation,Score distillation from diffusion models into Gaussian Splatting for 3D generation,
DiffGS,2410.19657,NeurIPS 2024,2024,Generation,Functional Gaussian Splatting diffusion in function space (not original space),https://github.com/weiqi-zhang/DiffGS
Director3D,2406.17601,NeurIPS 2024,2024,Generation,Text to progressive 3D scene GS generation with camera trajectory planning,https://github.com/imlixinyang/director3d
DreamGaussian,2309.16653,ICLR 2024 Oral,2024,Generation,SDS text-to-3D with 3DGS prior for orders-of-magnitude speedup,https://github.com/dreamgaussian/dreamgaussian
GaussianCube,2403.19655,NeurIPS 2024,2024,Generation,Optimal Transport reorders Gaussians into voxel grid structure enabling 3D diffusion generation,https://github.com/GaussianCube/GaussianCube
GaussianDreamer,2312.05941,CVPR 2024,2024,Generation,Fast 3DGS-based text-to-3D generation coupling SDS with structured Gaussian initialization,https://github.com/hustvl/GaussianDreamer
GSGAN,2406.02968,NeurIPS 2024,2024,Generation,Hierarchical GAN for direct 3D Gaussian generation,https://github.com/hse1032/GSGAN
MVGamba,2406.06367,NeurIPS 2024,2024,Generation,State Space Model (Mamba) replacing Transformer for 3D generation via sequence modeling,https://github.com/SkyworkAI/MVGamba
Tetrahedron Splatting,2406.01579,NeurIPS 2024,2024,Generation,Novel tetrahedron primitive replacing Gaussian ellipsoid for 3D generation tasks,https://github.com/fudan-zvg/tet-splatting
3DGS Safety Evaluation for AD,2605.01995,SafeComp 2026,2026,Autonomous Driving,Industrial-fidelity AD scene reconstruction evaluation,
Asset Harvester,2604.18468,arXiv,2026,Autonomous Driving,AV log → simulation-ready 3D assets via SparseViewDiT,https://research.nvidia.com/labs/sil/projects/asset-harvester/
CGGS,,arXiv,2026,Autonomous Driving,Consistency-Augmented Geometric GS for ego-centric 3D scene generation; consistency-augmented loss + mutual information depth loss (MID) for hierarchical geometry-visual optimization,
ConFixGS,2605.09688,arXiv,2026,Autonomous Driving,"Feedforward 3D Gaussian Splatting (3DGS) often struggles in trajectory-based sparse-view driving scenes. Existing Gaussian repair methods mainly target optimization-based 3DGS, while diffusion-base...",
DeGO,2605.28587,CVPR,2026,Autonomous Driving,Deformable Gaussian occupancy decoupling rigid and non-rigid motion with factorized 4D VGGT distillation,
DENSR,2606.01419,arXiv 2026,2026,Autonomous Driving,EFA-GS based football NVS: camera-height loss weighting + Depth-Anything-V2 depth supervision + 3-model pixel-average ensemble; SoccerNet NVS Challenge Rank 1,
DLWM,,CVPR 2026,2026,Autonomous Driving,Dual Latent World Model: 3DGS-centric self-supervised pretraining for autonomous driving via two-stage Gaussian-based world modeling,
GEM,2605.17682,arXiv 2026,2026,Autonomous Driving,Gaussian Evolution Model: non-autoregressive 4D Gaussian occupancy forecasting for motion planning,
GP-3DGS,2606.20103,ECCV,2026,Autonomous Driving,Geometry-Preserving 3DGS for LiDAR-Camera extrinsic calibration; blocks photometric gradient drift,
Ground4D,2605.04435,arXiv,2026,Autonomous Driving,Spatially-grounded feedforward 4D for off-road reconstruction,https://github.com/wsnbws/Ground4D
Nighttime AD GS,2602.13549,ICRA 2026,2026,Autonomous Driving,PBR + BRDF for nighttime driving scene reconstruction,
P2GS,2605.16925,CVPR 2026,2026,Autonomous Driving,Physical prior-guided 3DGS: joint HDR radiance + exposure decomposition for photometrically consistent urban reconstruction,
PointForward,2605.11594,arXiv,2026,Autonomous Driving,Sparse 3D queries in world space with spatial-temporal fusion + scene graphs for feedforward driving reconstruction,
RAD,,NeurIPS 2025,2026,Autonomous Driving,3DGS-based RL for end-to-end driving: 3DGS twin digital world + closed-loop RL training overcoming IL causal confusion,
RoGS,2607.15048,arXiv 2026,2026,Autonomous Driving,Adaptive Meshgrid Gaussian for large-scale road surface mapping; combines mesh-based and Gaussian representations for HD map generation and lane-level perception,
StreetNVS,2606.01590,arXiv 2026,2026,Autonomous Driving,Multi-sensor NVS framework (LiDAR + multi-camera + ego-motion) via Reference-Enhanced Camera Attention + relative ray-level positional encoding; matches 10-100x denser methods on Waymo,
X-World,,arXiv,2026,Autonomous Driving,Controllable multi-view generative world model (video diffusion + 3DGS simulation) for autonomous driving,
GausCtrl-AD,2503.19913,CVPR 2025,2025,Autonomous Driving,Controllable GS generation for AD simulation with layout conditioning,
GaussDet3D,2504.00665,CVPR 2025,2025,Autonomous Driving,3D detection from GS with Gaussian-anchored multi-scale features,
GaussianAT,2503.10143,CVPR 2025,2025,Autonomous Driving,Attention-based GS for driving scene with temporal-aware Gaussian aggregation,
GaussianLSS,,CVPR 2025,2025,Autonomous Driving,BEV perception via Gaussian Splatting,
GaussianSSC,2503.17032,CVPR 2025,2025,Autonomous Driving,GS-based 3D semantic scene completion with Gaussian-anchored feature lifting,
GaussOcc,2503.14029,CVPR 2025,2025,Autonomous Driving,GS-based 3D occupancy prediction with Gaussian-anchored dense features,
GS-Drive,2504.17810,CVPR 2025,2025,Autonomous Driving,GS-based closed-loop driving simulation with dynamic agent rendering,
GS-OD,2503.08135,CVPR 2025,2025,Autonomous Driving,GS-based 3D object detection with Gaussian-anchored feature sampling,
